FL_DATE,CARRIER,CARRIER_NAME,FL_NUM,ORIGIN_AIRPORT,ORIGIN_CITY_NAME,DEST_AIRPORT,DEST_CITY_NAME,DEP_TIME,ARR_TIME,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1/4/2017,EV,Atlantic Southeast Airlines,3871,Chicago O'Hare International,"Chicago, IL",Birmingham-Shuttlesworth International,"Birmingham, AL",1919,2111,0,,84,584,,,,,
1/4/2017,EV,Atlantic Southeast Airlines,5346,Chicago O'Hare International,"Chicago, IL",Minneapolis-St Paul International,"Minneapolis, MN",1213,1349,0,,59,334,,,,,
1/4/2017,AA,American Airlines Inc.,711,Chicago O'Hare International,"Chicago, IL",Phoenix Sky Harbor International,"Phoenix, AZ",1336,1623,0,,213,1440,,,,,
1/4/2017,AA,American Airlines Inc.,721,Chicago O'Hare International,"Chicago, IL",Charlotte Douglas International,"Charlotte, NC",1331,1608,0,,79,599,,,,,
1/4/2017,AA,American Airlines Inc.,742,Chicago O'Hare International,"Chicago, IL",Philadelphia International,"Philadelphia, PA",1145,1432,0,,87,678,,,,,
1/4/2017,AA,American Airlines Inc.,783,Chicago O'Hare International,"Chicago, IL",Charlotte Douglas International,"Charlotte, NC",706,945,0,,79,599,,,,,
1/4/2017,AA,American Airlines Inc.,787,Chicago O'Hare International,"Chicago, IL",Charlotte Douglas International,"Charlotte, NC",1214,1500,0,,84,599,,,,,
1/4/2017,AA,American Airlines Inc.,853,Chicago O'Hare International,"Chicago, IL",Phoenix Sky Harbor International,"Phoenix, AZ",1531,1830,0,,219,1440,,,,,
1/4/2017,AA,American Airlines Inc.,909,Chicago O'Hare International,"Chicago, IL",Hartsfield-Jackson Atlanta International,"Atlanta, GA",1458,1742,0,,82,606,,,,,
1/4/2017,AA,American Airlines Inc.,1022,Chicago O'Hare International,"Chicago, IL",San Diego International,"San Diego, CA",1709,1956,0,,267,1723,0,0,22,0,0
1/4/2017,AA,American Airlines Inc.,1027,Chicago O'Hare International,"Chicago, IL",Orlando International,"Orlando, FL",914,1234,0,,122,1005,,,,,
1/4/2017,AA,American Airlines Inc.,1035,Chicago O'Hare International,"Chicago, IL",Dallas/Fort Worth International,"Dallas/Fort Worth, TX",510,732,0,,128,802,,,,,
1/4/2017,AA,American Airlines Inc.,1045,Chicago O'Hare International,"Chicago, IL",San Francisco International,"San Francisco, CA",1207,1534,0,,294,1846,0,0,44,0,0
1/4/2017,AA,American Airlines Inc.,1055,Chicago O'Hare International,"Chicago, IL",Fort Lauderdale-Hollywood International,"Fort Lauderdale, FL",1617,2005,0,,152,1182,26,0,0,0,7
1/4/2017,AA,American Airlines Inc.,1056,Chicago O'Hare International,"Chicago, IL",Newark Liberty International,"Newark, NJ",1836,2204,0,,94,719,1,0,25,0,0
1/4/2017,AA,American Airlines Inc.,1766,Chicago O'Hare International,"Chicago, IL",Dallas/Fort Worth International,"Dallas/Fort Worth, TX",713,947,0,,129,802,,,,,
1/4/2017,B6,JetBlue Airways,312,Chicago O'Hare International,"Chicago, IL",Logan International,"Boston, MA",1312,1607,0,,100,867,,,,,
1/4/2017,DL,Delta Air Lines Inc.,393,Chicago O'Hare International,"Chicago, IL",Hartsfield-Jackson Atlanta International,"Atlanta, GA",1233,1517,0,,83,606,,,,,
1/4/2017,DL,Delta Air Lines Inc.,899,Chicago O'Hare International,"Chicago, IL",Detroit Metro Wayne County,"Detroit, MI",1921,2125,0,,46,235,0,0,0,0,31
1/4/2017,DL,Delta Air Lines Inc.,988,Chicago O'Hare International,"Chicago, IL",Hartsfield-Jackson Atlanta International,"Atlanta, GA",1650,1935,0,,82,606,,,,,
1/4/2017,DL,Delta Air Lines Inc.,1138,Chicago O'Hare International,"Chicago, IL",Hartsfield-Jackson Atlanta International,"Atlanta, GA",1125,1404,0,,81,606,,,,,
1/4/2017,DL,Delta Air Lines Inc.,1314,Chicago O'Hare International,"Chicago, IL",Salt Lake City International,"Salt Lake City, UT",1844,2131,0,,210,1250,,,,,
1/4/2017,DL,Delta Air Lines Inc.,1384,Chicago O'Hare International,"Chicago, IL",Detroit Metro Wayne County,"Detroit, MI",843,1105,0,,65,235,,,,,
1/4/2017,DL,Delta Air Lines Inc.,1477,Chicago O'Hare International,"Chicago, IL",Hartsfield-Jackson Atlanta International,"Atlanta, GA",632,916,0,,87,606,,,,,
1/4/2017,DL,Delta Air Lines Inc.,1717,Chicago O'Hare International,"Chicago, IL",Minneapolis-St Paul International,"Minneapolis, MN",1726,1917,0,,79,334,,,,,
1/4/2017,DL,Delta Air Lines Inc.,1816,Chicago O'Hare International,"Chicago, IL",Hartsfield-Jackson Atlanta International,"Atlanta, GA",544,829,0,,87,606,,,,,
1/4/2017,DL,Delta Air Lines Inc.,1977,Chicago O'Hare International,"Chicago, IL",Hartsfield-Jackson Atlanta International,"Atlanta, GA",1809,2120,0,,84,606,,,,,
1/4/2017,DL,Delta Air Lines Inc.,2107,Chicago O'Hare International,"Chicago, IL",Salt Lake City International,"Salt Lake City, UT",1344,1621,0,,199,1250,,,,,
1/4/2017,DL,Delta Air Lines Inc.,2268,Chicago O'Hare International,"Chicago, IL",Minneapolis-St Paul International,"Minneapolis, MN",1516,1642,0,,70,334,,,,,
1/4/2017,DL,Delta Air Lines Inc.,2412,Chicago O'Hare International,"Chicago, IL",Hartsfield-Jackson Atlanta International,"Atlanta, GA",732,1013,0,,81,606,,,,,
1/4/2017,DL,Delta Air Lines Inc.,2462,Chicago O'Hare International,"Chicago, IL",Hartsfield-Jackson Atlanta International,"Atlanta, GA",1940,2223,0,,84,606,,,,,
1/4/2017,DL,Delta Air Lines Inc.,2548,Chicago O'Hare International,"Chicago, IL",Hartsfield-Jackson Atlanta International,"Atlanta, GA",1552,1832,0,,82,606,,,,,
1/4/2017,EV,Atlantic Southeast Airlines,4108,Chicago O'Hare International,"Chicago, IL",Roanoke Blacksburg Regional Woodrum Field,"Roanoke, VA",1951,2229,0,,72,531,0,0,0,0,29
1/4/2017,EV,Atlantic Southeast Airlines,4152,Chicago O'Hare International,"Chicago, IL",Greenville-Spartanburg International,"Greer, SC",1808,2100,0,,80,577,,,,,
1/4/2017,EV,Atlantic Southeast Airlines,4179,Chicago O'Hare International,"Chicago, IL",Northwest Arkansas Regional,"Fayetteville, AR",903,1056,0,,88,522,,,,,
1/4/2017,EV,Atlantic Southeast Airlines,4210,Chicago O'Hare International,"Chicago, IL",Wichita Dwight D Eisenhower National,"Wichita, KS",1549,1750,0,,102,588,,,,,
1/4/2017,EV,Atlantic Southeast Airlines,4212,Chicago O'Hare International,"Chicago, IL",Blue Grass,"Lexington, KY",2047,2256,0,,46,323,,,,,
1/4/2017,EV,Atlantic Southeast Airlines,4213,Chicago O'Hare International,"Chicago, IL",Westchester County,"White Plains, NY",756,1058,0,,99,738,,,,,
1/4/2017,EV,Atlantic Southeast Airlines,4219,Chicago O'Hare International,"Chicago, IL",Tulsa International,"Tulsa, OK",2124,2341,0,,118,585,98,0,12,0,31
1/4/2017,EV,Atlantic Southeast Airlines,4250,Chicago O'Hare International,"Chicago, IL",Lovell Field,"Chattanooga, TN",1359,1627,0,,69,501,,,,,
1/4/2017,EV,Atlantic Southeast Airlines,4282,Chicago O'Hare International,"Chicago, IL",Burlington International,"Burlington, VT",1336,1645,0,,108,763,,,,,
1/4/2017,EV,Atlantic Southeast Airlines,4290,Chicago O'Hare International,"Chicago, IL",Birmingham-Shuttlesworth International,"Birmingham, AL",1600,1752,0,,81,584,,,,,
1/4/2017,EV,Atlantic Southeast Airlines,4292,Chicago O'Hare International,"Chicago, IL",Cherry Capital,"Traverse City, MI",1140,1340,0,,43,224,48,0,0,0,0
1/4/2017,EV,Atlantic Southeast Airlines,4300,Chicago O'Hare International,"Chicago, IL",Hector International,"Fargo, ND",1915,2126,0,,100,557,,,,,
1/4/2017,EV,Atlantic Southeast Airlines,4303,Chicago O'Hare International,"Chicago, IL",Gerald R. Ford International,"Grand Rapids, MI",1552,1753,0,,33,137,,,,,
1/4/2017,EV,Atlantic Southeast Airlines,4316,Chicago O'Hare International,"Chicago, IL",Lovell Field,"Chattanooga, TN",1914,2148,0,,69,501,,,,,
1/4/2017,EV,Atlantic Southeast Airlines,4320,Chicago O'Hare International,"Chicago, IL",Kalamazoo/Battle Creek International,"Kalamazoo, MI",1650,1844,0,,27,122,60,0,3,0,0
1/4/2017,EV,Atlantic Southeast Airlines,4323,Chicago O'Hare International,"Chicago, IL",General Downing - Peoria International,"Peoria, IL",850,937,0,,28,130,,,,,
1/4/2017,EV,Atlantic Southeast Airlines,4327,Chicago O'Hare International,"Chicago, IL",Richmond International,"Richmond, VA",2100,2346,0,,83,642,,,,,
1/4/2017,EV,Atlantic Southeast Airlines,4328,Chicago O'Hare International,"Chicago, IL",Lincoln Airport,"Lincoln, NE",856,1104,0,,87,466,0,0,19,0,0
1/4/2017,EV,Atlantic Southeast Airlines,4354,Chicago O'Hare International,"Chicago, IL",Wichita Dwight D Eisenhower National,"Wichita, KS",1922,2126,0,,100,588,,,,,
1/4/2017,EV,Atlantic Southeast Airlines,4367,Chicago O'Hare International,"Chicago, IL",Evansville Regional,"Evansville, IN",1338,1434,0,,42,272,,,,,
1/4/2017,NK,Spirit Air Lines,219,Chicago O'Hare International,"Chicago, IL",Hartsfield-Jackson Atlanta International,"Atlanta, GA",1442,1735,0,,83,606,,,,,
1/4/2017,NK,Spirit Air Lines,223,Chicago O'Hare International,"Chicago, IL",Southwest Florida International,"Fort Myers, FL",1550,1938,0,,147,1120,,,,,
1/4/2017,NK,Spirit Air Lines,224,Chicago O'Hare International,"Chicago, IL",LaGuardia,"New York, NY",540,848,0,,92,733,,,,,
1/4/2017,NK,Spirit Air Lines,245,Chicago O'Hare International,"Chicago, IL",McCarran International,"Las Vegas, NV",1516,1723,0,,228,1514,,,,,
