"Pl_HostName","Pl_Letter","Pl_Name","Pl_DiscoveryMethod","Pl_DiscoveryYear","Pl_OrbitalPeriod","Pl_SemiMajorAxis","Pl_Eccentricity","Pl_MassEarth","Pl_RadiusEarth","Pl_Density","Pl_EquilibriumTemp","Pl_InsolationFlux","Pl_NumStars","St_Distance","St_OpticalMagnitude","St_SpectralType","St_EffectiveTemp","St_SurfaceGravity","St_Luminosity","St_MassSolar","St_RadiusSolar","St_Metallicity","St_MetallicityRatio","St_Age"
"11 Com","b","11 Com b","Radial Velocity",2007,326.03,1.29,0.231,6165.6,12.1,19.1,NA,NA,1,93.37,4.74,"K0 III",4742,2.31,2.243,2.7,19,-0.35,"[Fe/H]",NA
"11 UMi","b","11 UMi b","Radial Velocity",2009,516.21997,1.53,0.08,4684.8142,12.3,13.8,NA,NA,1,125.72,5.016,"K4 III",4213,1.93,2.43,2.78,29.79,-0.02,"[Fe/H]",1.56
"14 And","b","14 And b","Radial Velocity",2008,185.84,0.83,0,1525.5,12.9,3.9,NA,NA,1,75.59,5.227,"G8 III",4813,2.63,1.763,2.2,11,-0.24,"[Fe/H]",4.5
"14 Her","b","14 Her b","Radial Velocity",2002,1773.40002,2.93,0.37,1481.0878,12.9,3.79,NA,NA,1,17.94,6.61,"K0 V",5338,4.45,-0.151,0.9,0.93,0.41,"[Fe/H]",5.24
"16 Cyg B","b","16 Cyg B b","Radial Velocity",1996,798.5,1.66,0.68,565.7374,13.5,1.26,NA,NA,3,21.41,6.25,"G2.5 V",5750,4.36,0.1,1.08,1.13,0.06,"[Fe/H]",7.4
"18 Del","b","18 Del b","Radial Velocity",2008,993.3,2.6,0.08,3273.5,12.5,9.21,NA,NA,1,76.38,5.506,"G6 III",4979,2.82,1.602,2.3,8.5,-0.052,"[Fe/H]",1.1
"1RXS J160929.1-210524","b","1RXS J160929.1-210524 b","Imaging",2008,NA,330,NA,3000,18.647,2.54,1700,NA,1,145,12.057,"K7 V",4060,NA,-0.37,0.85,1.18,NA,"",0.005
"24 Boo","b","24 Boo b","Radial Velocity",2018,30.3506,0.19,0.042,289.2253,13.9,0.592,NA,NA,1,96.25,5.58,"G3 IV",4893,2.42,1.774,0.99,10.64,-0.77,"[Fe/H]",6.92
"24 Sex","b","24 Sex b","Radial Velocity",2010,452.8,1.333,0.09,632.46,13.4,1.44,NA,NA,1,72.21,6.441,"K0 IV",5098,3.5,1.164,1.54,4.9,-0.03,"[Fe/H]",2.7
"24 Sex","c","24 Sex c","Radial Velocity",2010,883,2.08,0.29,273.32,13.9,0.559,NA,NA,1,72.21,6.441,"K0 IV",5098,3.5,1.164,1.54,4.9,-0.03,"[Fe/H]",2.7
"2MASS J01225093-2439505","b","2MASS J01225093-2439505 b","Imaging",2013,NA,52,NA,7786.5,11.209,30.4,1600,NA,1,36,14.24,"M3.5 V",3530,NA,-1.72,0.4,NA,NA,"",0.12
"2MASS J02192210-3925225","b","2MASS J02192210-3925225 b","Imaging",2015,NA,156,NA,4417.837,16.141,5.77,NA,NA,1,39.4,15.012,"M6",3064,4.59,-2.23,0.11,0.28,NA,"",0.035
"2MASS J04414489+2301513","b","2MASS J04414489+2301513 b","Imaging",2010,NA,15,NA,2383.6,12.6,6.55,NA,NA,1,140,18.967,"M8.5",NA,NA,NA,0.02,NA,NA,"",0.001
"2MASS J12073346-3932539","b","2MASS J12073346-3932539 b","Imaging",2004,NA,46,NA,1271,13,3.18,1150,NA,1,52.4,20.15,"M8",NA,NA,NA,0.02,NA,NA,"",0.008
"2MASS J19383260+4603591","b","2MASS J19383260+4603591 b","Eclipse Timing Variations",2015,416,0.92,NA,603.877,13.4,1.38,NA,NA,2,396.36,12.138,"",10868,3.91,0.168,0.48,0.34,-0.092,"[Fe/H]",NA
"2MASS J21402931+1625183 A","b","2MASS J21402931+1625183 A b","Imaging",2009,7336.5,NA,0.26,6657.48,10.31,33.4,2075,NA,1,25,17.396,"M8.5",2300,NA,-3.48,0.08,0.12,NA,"",NA
"2MASS J22362452+4751425","b","2MASS J22362452+4751425 b","Imaging",2016,NA,230,NA,3972.875,12.3,11.7,NA,NA,1,74,12.51,"K7 V",4045,NA,-1.021,0.6,0.62,NA,"",0.12
"30 Ari B","b","30 Ari B b","Radial Velocity",2009,335.10001,0.99,0.29,4392.4106,12.3,13,NA,NA,4,44.71,6.962,"F6 V",6331,4.43,0.381,1.93,1.41,0.19,"[Fe/H]",0.91
"4 UMa","b","4 UMa b","Radial Velocity",2006,269.3,0.87,0.432,2256.5,12.7,6.05,NA,NA,1,73.58,4.61,"K1 III",4415,1.8,2.062,1.23,18.11,-0.25,"[Fe/H]",4.604
"42 Dra","b","42 Dra b","Radial Velocity",2008,479.1,1.19,0.38,1233.13,13,3.08,NA,NA,1,90.86,4.82,"K1.5 III",4200,1.71,2.155,0.98,22.03,-0.46,"[Fe/H]",9.49
"47 UMa","b","47 UMa b","Radial Velocity",1996,1078,2.1,0.032,804.08,13.2,1.92,NA,NA,1,13.8,5.05,"G0 V",5892,4.27,0.216,1.03,1.23,0,"[Fe/H]",7.3
"47 UMa","c","47 UMa c","Radial Velocity",2001,2391,3.6,0.098,171.621,14.2,0.329,NA,NA,1,13.8,5.05,"G0 V",5892,4.27,0.216,1.03,1.23,0,"[Fe/H]",7.3
"47 UMa","d","47 UMa d","Radial Velocity",2009,14002,11.6,0.16,521.22,13.5,1.16,NA,NA,1,13.8,5.05,"G0 V",5892,4.27,0.216,1.03,1.23,0,"[Fe/H]",7.3
"51 Eri","b","51 Eri b","Imaging",2015,14965,13.2,0.21,635.66,13.4,1.45,700,NA,1,29.4,5.23,"F0 IV",7190.1,NA,0.85,1.75,1.56,-0.027,"[M/H]",0.02
"51 Peg","b","51 Peg b","Radial Velocity",1995,4.230785,0.0527,0.013,146.2018,14.3,0.275,NA,NA,1,15.47,5.5,"G2.5 IV",5793,4.33,0.147,1.12,1.2,0.2,"[Fe/H]",4
"55 Cnc","b","55 Cnc b","Radial Velocity",1996,14.65152,0.115227,0.0034,263.9785,13.9,0.54,700,NA,2,12.59,5.96,"G8 V",5196,4.45,-0.235,0.91,0.94,0.31,"[Fe/H]",10.2
"55 Cnc","c","55 Cnc c","Radial Velocity",2004,44.4175,0.241376,0.02,54.4738,8.51,0.486,NA,NA,2,12.59,5.96,"G8 V",5196,4.45,-0.235,0.91,0.94,0.31,"[Fe/H]",10.2
"55 Cnc","d","55 Cnc d","Radial Velocity",2002,4825,5.503,0.019,1232.493,13,3.08,NA,NA,2,12.59,5.96,"G8 V",5196,4.45,-0.235,0.91,0.94,0.31,"[Fe/H]",10.2
"55 Cnc","e","55 Cnc e","Radial Velocity",2004,0.736539,0.01544,0.028,8.08,1.91,6.4,1958,NA,2,12.59,5.96,"G8 V",5196,4.45,-0.235,0.91,0.94,0.31,"[Fe/H]",10.2
"55 Cnc","f","55 Cnc f","Radial Velocity",2007,262,0.788,0.305,44.812,7.59,0.563,NA,NA,2,12.59,5.96,"G8 V",5196,4.45,-0.235,0.91,0.94,0.31,"[Fe/H]",10.2
"6 Lyn","b","6 Lyn b","Radial Velocity",2008,874.774,2.18,0.125,702.4043,13.3,1.64,NA,NA,1,54.74,5.855,"K0 III-IV",4978,3.16,1.176,1.7,5.2,-0.13,"[Fe/H]",2.353
"61 Vir","b","61 Vir b","Radial Velocity",2009,4.215,0.050201,0.12,5.1,2.11,2.98,NA,NA,1,8.51,4.74,"G5 V",5577,4.34,-0.095,0.94,0.96,-0.01,"[Fe/H]",8.96
"61 Vir","c","61 Vir c","Radial Velocity",2009,38.021,0.2175,0.14,18.2,4.46,1.13,NA,NA,1,8.51,4.74,"G5 V",5577,4.34,-0.095,0.94,0.96,-0.01,"[Fe/H]",8.96
"61 Vir","d","61 Vir d","Radial Velocity",2009,123.01,0.476,0.35,22.9,5.11,0.943,NA,NA,1,8.51,4.74,"G5 V",5577,4.34,-0.095,0.94,0.96,-0.01,"[Fe/H]",8.96
"7 CMa","b","7 CMa b","Radial Velocity",2011,796,1.93,0.22,781.8618,13.3,1.83,NA,NA,1,19.82,3.92,"K1 III",4792,3.25,1.053,1.52,2.3,0.21,"[Fe/H]",NA
"70 Vir","b","70 Vir b","Radial Velocity",1996,116.6884,0.48,0.4,2380.45,12.6,6.54,NA,NA,1,17.91,4.98,"G4 V",5531,3.97,0.487,1.14,1.84,-0.06,"[Fe/H]",7.92
"75 Cet","b","75 Cet b","Radial Velocity",2012,691.9,2.1,0.117,953.49,13.1,2.33,NA,NA,1,83.15,5.35,"G3 III",4846,2.63,1.73,2.49,10.5,0,"[Fe/H]",NA
"8 UMi","b","8 UMi b","Radial Velocity",2015,93.4,0.49,0.06,416.3573,13.6,0.91,NA,NA,1,159.1,6.83,"K0",4847,2.57,1.725,1.44,10.3,-0.03,"[Fe/H]",1.7
"81 Cet","b","81 Cet b","Radial Velocity",2008,952.7,2.5,0.206,1684.4,12.8,4.41,NA,NA,1,101.53,5.65,"G5 III",4785,2.35,1.778,2.4,11,-0.06,"[Fe/H]",NA
"91 Aqr","b","91 Aqr b","Radial Velocity",2013,181.4,0.7,0.027,1017,13.1,2.49,NA,NA,1,44.08,4.25,"K0 III",4665,2.52,1.692,1.4,11,-0.03,"[Fe/H]",3.56
"AB Pic","b","AB Pic b","Imaging",2005,NA,260,NA,4290.5,12.3,12.7,NA,NA,1,50.12,9.128,"K2 V",5378,4.44,-0.226,0.9,1,-0.05,"[Fe/H]",0.03
"BD+03 2562","b","BD+03 2562 b","Radial Velocity",2017,481.9,1.3,0.2,2034.112,12.7,5.46,NA,NA,1,2618,9.58,"",4095,1.89,2.7,1.14,32.35,-0.71,"[Fe/H]",5.2
"BD+14 4559","b","BD+14 4559 b","Radial Velocity",2009,268.94,0.78,0.29,330.5432,13.8,0.691,NA,NA,1,49.42,9.63,"K2 V",4864,4.26,-0.424,0.49,0.86,0.17,"[Fe/H]",NA
"BD+15 2375","b","BD+15 2375 b","Radial Velocity",2016,153.22,0.576,0.001,337.21763,13.8,0.705,NA,NA,1,774,10.31,"",4649,2.61,1.57,1.08,8.95,-0.22,"[Fe/H]",7.41
"BD+15 2940","b","BD+15 2940 b","Radial Velocity",2013,137.48,0.539,0.26,352.78,13.7,0.754,NA,NA,1,431.61,9.046,"K0",4796,2.8,2.01,1.1,14.7,0.28,"[Fe/H]",7.1
"BD+20 2457","b","BD+20 2457 b","Radial Velocity",2009,379.63,1.05,0.15,17668.1697,11.6,62.2,NA,NA,1,200,9.75,"K2 II",4259,1.77,2.768,10.83,71.02,-0.79,"[Fe/H]",NA
"BD+20 2457","c","BD+20 2457 c","Radial Velocity",2009,621.99,2.01,0.18,3963.17,12.4,11.4,NA,NA,1,200,9.75,"K2 II",4259,1.77,2.768,10.83,71.02,-0.79,"[Fe/H]",NA
"BD+20 274","b","BD+20 274 b","Radial Velocity",2012,578.2,1.3,0.21,1334.886,13,3.34,NA,NA,1,1383.85,9.36,"K5 III",4296,1.99,1.96,0.8,17.3,-0.46,"[Fe/H]",NA
"BD+20 594","b","BD+20 594 b","Transit",2016,41.6855,0.241,0,22.2481,2.578,7.89,546,NA,1,180.39,11.038,"G",5766,4.5,0.05,1.67,1.08,-0.15,"[Fe/H]",3.34
"BD+48 738","b","BD+48 738 b","Radial Velocity",2011,392.6,1,0.2,289.2253,13.9,0.592,NA,NA,1,892.17,9.14,"K0 III",4414,2.24,1.69,0.74,11,-0.2,"[Fe/H]",NA
"BD+48 740","b","BD+48 740 b","Radial Velocity",2018,733,1.7,0.76,540.311,13.5,1.21,NA,NA,1,678.94,8.699,"",4534,2.48,1.64,1.09,10.33,-0.13,"[Fe/H]",NA
"BD+49 828","b","BD+49 828 b","Radial Velocity",2015,2590,4.2,0.35,508.5,13.5,1.14,NA,NA,1,447.59,9.38,"K0",4943,2.85,1.47,1.52,7.6,-0.19,"[Fe/H]",2.34
"BD-06 1339","b","BD-06 1339 b","Radial Velocity",2013,3.8728,0.0428,0,8.5,2.85,2.02,NA,NA,1,20.28,9.7,"K7/M0 V",4324,4.74,-1.022,0.7,0.67,-0.14,"[Fe/H]",4.4
"BD-06 1339","c","BD-06 1339 c","Radial Velocity",2013,125.94,0.435,0.31,53,8.38,0.495,NA,NA,1,20.28,9.7,"K7/M0 V",4324,4.74,-1.022,0.7,0.67,-0.14,"[Fe/H]",4.4
"BD-08 2823","b","BD-08 2823 b","Radial Velocity",2009,5.6,0.06,0.15,12.7132,3.61,1.48,NA,NA,1,41.38,9.88,"K3 V",4816,4.43,-0.626,0.5,0.71,-0.06,"[Fe/H]",4.5
"BD-08 2823","c","BD-08 2823 c","Radial Velocity",2009,237.6,0.68,0.19,104,12.5,0.293,NA,NA,1,41.38,9.88,"K3 V",4816,4.43,-0.626,0.5,0.71,-0.06,"[Fe/H]",4.5
"BD-10 3166","b","BD-10 3166 b","Radial Velocity",2000,3.48777,0.04,0.02,187.5197,14.1,0.368,NA,NA,1,80,10.08,"K0 V",5393,4.69,-0.191,1.47,0.91,0.38,"[Fe/H]",1
"BD-11 4672","b","BD-11 4672 b","Radial Velocity",2014,1667,2.28,0.05,168.44,14.2,0.323,NA,NA,1,27.3,9.99,"K7 V",4475,4.1,-0.881,0.57,0.52,-0.48,"[Fe/H]",4.4
"BD-13 2130","b","BD-13 2130 b","Radial Velocity",2007,714.29999,1.66,0.21,3108.3774,12.5,8.75,NA,NA,1,766,9.45,"G5 IV/V",4545,2.2,2.043,2.12,19.17,-0.08,"[Fe/H]",0.74
"BD-17 63","b","BD-17 63 b","Radial Velocity",2008,655.59998,1.34,0.54,905.8155,13.2,2.16,NA,NA,1,34.49,9.566,"K5 V",4665,4.19,-0.651,0.31,0.74,0.01,"[Fe/H]",4.3
"CFBDSIR J145829+101343","b","CFBDSIR J145829+101343 b","Imaging",2011,10037.5,2.6,NA,3337.1,12.4,9.62,370,NA,1,23.1,NA,"",580.5,4.72,NA,0.02,NA,NA,"",NA
"CHXR 73","b","CHXR 73 b","Imaging",2006,NA,210,NA,3994.486,12.3,11.8,NA,NA,1,191.05,17.293,"M3.5",NA,NA,NA,0.35,NA,NA,"",0.002
"CT Cha","b","CT Cha b","Imaging",2007,NA,440,NA,5403,24.66,1.98,2600,NA,1,165,11.773,"",4200.2,NA,-0.102,NA,1.68,NA,"",0.002
"CoRoT-1","b","CoRoT-1 b","Transit",2008,1.5089557,0.02536,0,327.35,16.7,0.38,1898,NA,1,805.31,13.6,"G0 V",5950,4.25,0.298,0.95,1.11,-0.3,"[M/H]",7.8
"CoRoT-10","b","CoRoT-10 b","Transit",2010,13.2406,0.1055,0.53,874,10.87,3.7,600,NA,1,345,15.22,"K1 V",5075,4.65,-0.726,0.89,0.79,0.26,"[Fe/H]",3
"CoRoT-11","b","CoRoT-11 b","Transit",2010,2.99433,0.0436,0,740.51,16.03,0.99,1657,NA,1,560,12.939,"F6 V",6440,4.22,0.378,1.27,1.37,-0.03,"[Fe/H]",2
"CoRoT-12","b","CoRoT-12 b","Transit",2010,2.828042,0.04016,0.07,291.438,16.14,0.411,1442,NA,1,1150,15.515,"",5675,4.38,-0.128,1.08,1.12,0.16,"[Fe/H]",6.3
"CoRoT-13","b","CoRoT-13 b","Transit",2010,4.03519,0.051,0,415.704,9.92,2.34,1700,NA,1,1060,15.039,"G0 V",5945,4.46,0.073,1.09,1.01,0.01,"[Fe/H]",1.635
"CoRoT-14","b","CoRoT-14 b","Transit",2010,1.51214,0.027,0,2415.4,12.22,7.3,1952,NA,1,1340,16.033,"F9 V",6035,4.35,0.119,1.13,1.21,0.05,"[Fe/H]",4.2
"CoRoT-16","b","CoRoT-16 b","Transit",2011,5.35227,0.0618,0.33,170.032,13.11,0.44,NA,NA,1,840,15.63,"G5 V",5650,4.36,-0.435,1.1,1.19,0.19,"[M/H]",6.73
"CoRoT-17","b","CoRoT-17 b","Transit",2011,3.7681,0.0461,0,772.29,11.43,2.82,1626,NA,1,920,15.46,"G2 V",5740,4.4,0.134,1.04,1.59,0,"[Fe/H]",10.7
"CoRoT-18","b","CoRoT-18 b","Transit",2011,1.9000693,0.0295,0.08,1102.82,14.68,2.2,1550,NA,1,870,15,"G9 V",5440,4.4,-0.226,0.95,1,-0.1,"[Fe/H]",NA
"CoRoT-19","b","CoRoT-19 b","Transit",2011,3.89713,0.0518,0.047,352.78,14.46,0.71,2000,NA,1,770,14.007,"F9 V",6090,4.07,0.544,1.21,1.65,-0.02,"[Fe/H]",5
"CoRoT-2","b","CoRoT-2 b","Transit",2008,1.7429935,0.02798,0.0143,1102.82,16.432,1.47,1521,NA,1,200,12.57,"",5625,4.53,-0.321,0.96,0.91,-0.03,"[Fe/H]",2.7
"CoRoT-20","b","CoRoT-20 b","Transit",2011,9.24285,0.09,0.59,1366.669,9.42,8.87,1002,NA,1,864.31,14.66,"G2 V",4947.5,4.2,0.006,1.14,1.37,0.14,"[Fe/H]",0.1
"CoRoT-20","c","CoRoT-20 c","Radial Velocity",2018,1675,2.9,0.6,5403.11,12.2,16.4,NA,NA,1,864.31,14.66,"G2 V",4947.5,4.2,0.006,1.14,1.37,0.14,"[Fe/H]",0.1
"CoRoT-22","b","CoRoT-22 b","Transit",2014,9.75598,0.092,0.077,12.2,4.88,0.249,885,NA,1,592,13.944,"G3 V",5939,4.36,0.014,1.1,1.14,0.17,"[Fe/H]",3.3
"CoRoT-23","b","CoRoT-23 b","Transit",2011,3.6313,0.048,0.16,889.9,11.77,3,1660,NA,1,600,15.63,"G0 V",5900,4.3,0.087,1.14,1.61,0.05,"[Fe/H]",7.2
"CoRoT-24","b","CoRoT-24 b","Transit",2014,5.1134,0.056,0,5.7,3.7,0.9,1070,NA,1,600,15.18,"K1 V",4950,4.55,-0.601,0.91,0.86,0.3,"[Fe/H]",11
"CoRoT-24","c","CoRoT-24 c","Transit",2014,11.759,0.098,0,28,5,1.3,850,NA,1,600,15.18,"K1 V",4950,4.55,-0.601,0.91,0.86,0.3,"[Fe/H]",11
"CoRoT-25","b","CoRoT-25 b","Transit",2013,4.86069,0.0578,0,85.81,12.11,0.15,1330,NA,1,1000,14.711,"F9",6040,4.31,0.141,1.09,1.19,-0.01,"[Fe/H]",4.5
"CoRoT-26","b","CoRoT-26 b","Transit",2013,4.20474,0.0526,0,165.26,14.12,0.28,1600,NA,1,1670,15.468,"G5",5590,3.99,0.451,1.09,1.79,0.01,"[Fe/H]",8.6
"CoRoT-27","b","CoRoT-27 b","Transit",2014,3.57532,0.0476,0.065,3302.11,11.287,12.6,1500,NA,1,1035.15,15.54,"G2",5900,4.4,-0.166,1.05,1.08,-0.1,"[M/H]",4.21
"CoRoT-28","b","CoRoT-28 b","Transit",2015,5.20851,0.0603,0.047,153.82972,10.705,0.69,NA,NA,1,560,13.412,"G8/9 IV",5150,3.6,0.388,1.01,1.78,0.15,"[Fe/H]",12
"CoRoT-29","b","CoRoT-29 b","Transit",2015,2.85057,0.0386,0.082,270.1555,10.088,1.45,NA,NA,1,765,15.239,"K0 V",5260,4.3,-0.347,0.97,0.9,0.2,"[Fe/H]",4.5
"CoRoT-3","b","CoRoT-3 b","Transit",2008,4.2568,0.05783,0,6883.91,11.32,26.4,1695,NA,1,680,13.292,"F3 V",6740,4.22,0.391,1.37,1.56,0.14,"[Fe/H]",2.2
"CoRoT-4","b","CoRoT-4 b","Transit",2008,9.20205,0.09,0,228.83,13.34,0.525,1074,NA,1,741.6,13.561,"",6190,4.41,0.185,1.16,1.17,0.15,"[Fe/H]",1
"CoRoT-5","b","CoRoT-5 b","Transit",2009,4.0378962,0.04947,0.09,148.42,15.558,0.217,1438,NA,1,904.65,13.902,"F9 V",6100,4.19,0.223,1,1.19,-0.25,"[M/H]",6.9
"CoRoT-6","b","CoRoT-6 b","Transit",2009,8.886593,0.0855,0.1,940.74,13.068,2.32,1017,NA,1,657.24,13.912,"F9 V",6090,4.43,0.026,1.05,1.02,-0.2,"[Fe/H]",2.5
"CoRoT-7","b","CoRoT-7 b","Transit",2009,0.85359,0.017016,0,3.1783,1.681,6.61,1756,NA,1,153.7,11.668,"G9 V",5275,4.5,-0.292,0.82,0.83,0.05,"[Fe/H]",1.75
"CoRoT-7","c","CoRoT-7 c","Radial Velocity",2009,3.698,0.046,0,8.4,2.83,2.04,NA,NA,1,153.7,11.668,"G9 V",5275,4.5,-0.292,0.82,0.83,0.05,"[Fe/H]",1.75
"CoRoT-8","b","CoRoT-8 b","Transit",2010,6.21229,0.063,0,69.92,6.39,1.6,922,NA,1,380,14.8,"K1 V",5080,4.58,-0.665,0.88,0.77,0.3,"[M/H]",3
"CoRoT-9","b","CoRoT-9 b","Transit",2009,95.272656,0.4021,0.133,266.9772,11.949,0.86,420,NA,1,460,13.69,"G3 V",5625,4.54,-0.254,0.96,0.96,-0.01,"[Fe/H]",6
"CoRoTID 223977153","b","CoRoTID 223977153 b","Transit",2017,6.71837,0.071,NA,47.6745,6.389,1.1,938,132.26,1,586.2,13.587,"G0 VI",5970,4.67,-0.155,1.08,0.79,0,"[Fe/H]",NA
"DENIS-P J082303.1-491201","b","DENIS-P J082303.1-491201 b","Astrometry",2013,246.36,0.36,0.345,9057.77,11.9,29.5,NA,NA,1,20.77,18.558,"L1.5",NA,NA,NA,0.07,NA,NA,"",1
"DH Tau","b","DH Tau b","Imaging",2004,NA,330,NA,3496,30.264,0.693,2200,NA,1,140,12.496,"M0.5",3751.5,NA,-0.569,0.33,0.27,NA,"",0.001
"DP Leo","b","DP Leo b","Eclipse Timing Variations",2009,10220,8.19,0.39,1995.88832,12.7,5.35,NA,NA,2,NA,NA,"",NA,NA,NA,0.69,NA,NA,"",NA
"EPIC 211822797","b","EPIC 211822797 b","Transit",2016,21.169861,0.131,0.06,4.58,1.98,3.24,NA,3.5,1,187.19,15.256,"",4148.21,NA,-1.113,0.66,0.57,0.14,"[Fe/H]",0.79
"EPIC 211945201","b","EPIC 211945201 b","Transit",2018,19.49221,0.1493,0,27,5.76,0.65,817,NA,1,182.69,10.154,"G0",6069,4.22,0.369,1.17,1.39,0.1,"[Fe/H]",3.99
"EPIC 220674823","b","EPIC 220674823 b","Transit",2016,0.571331,0.0134,0,8.36,1.82,8.57,2119,4293,1,246.1,12.102,"G5 V",5617,4.45,-0.11,0.97,0.98,0.13,"[Fe/H]",5
"EPIC 220674823","c","EPIC 220674823 c","Transit",2016,13.339079,0.1091,0.18,5.8,2.73,2,741,64,1,246.1,12.102,"G5 V",5617,4.45,-0.11,0.97,0.98,0.13,"[Fe/H]",5
"EPIC 246851721","b","EPIC 246851721 b","Transit",2018,6.180235,0.07229,NA,953.49,11.781,3.1,1401,642,2,336.7,11.439,"F5 V",6202,4.16,0.526,1.32,1.59,0.141,"[Fe/H]",3.02
"FU Tau","b","FU Tau b","Imaging",2008,NA,800,NA,5085.28,12.2,15.4,2375,NA,1,140,20.48,"M7.25",2838,NA,-0.699,0.05,NA,NA,"",0.001
"Fomalhaut","b","Fomalhaut b","Imaging",2008,555530,160,0.87,826.3,13.5,1.85,NA,NA,1,7.7,1.16,"A3 V",8399,4.14,1.217,1.92,1.92,NA,"",0.2
"GJ 1132","b","GJ 1132 b","Transit",2015,1.628931,0.0153,0.22,1.66,1.16,6.3,529,NA,1,12.04,13.49,"M4.5 V",3270,4.88,-2.359,0.18,0.21,-0.12,"[Fe/H]",5
"GJ 1132","c","GJ 1132 c","Transit",2018,8.929,0.0476,0.27,2.64,1.43,4.96,300,NA,1,12.04,13.49,"M4.5 V",3270,4.88,-2.359,0.18,0.21,-0.12,"[Fe/H]",5
"GJ 1148","b","GJ 1148 b","Radial Velocity",2010,41.38,0.166,0.38,96.7,11.9,0.315,NA,NA,1,11.02,11.92,"M4",3264,NA,-1.699,0.35,0.4,NA,"",NA
"GJ 1148","c","GJ 1148 c","Radial Velocity",2017,532.58,0.912,0.342,68.06,9.71,0.409,NA,NA,1,11.02,11.92,"M4",3264,NA,-1.699,0.35,0.4,NA,"",NA
"GJ 1214","b","GJ 1214 b","Transit",2009,1.58040456,0.01411,0,6.26125,2.847,1.49,547,NA,1,12.95,15.1,"M4.5",3026,4.94,-2.312,0.15,0.22,0.39,"[Fe/H]",3
"GJ 163","b","GJ 163 b","Radial Velocity",2013,8.63182,0.0607,0.073,10.6,3.25,1.7,NA,NA,1,15.14,11.81,"M3.5 V",3500,NA,-1.708,0.4,0.43,0.1,"[Fe/H]",6
"GJ 163","c","GJ 163 c","Radial Velocity",2013,25.63058,0.1254,0.099,6.8,2.5,2.39,NA,NA,1,15.14,11.81,"M3.5 V",3500,NA,-1.708,0.4,0.43,0.1,"[Fe/H]",6
"GJ 163","d","GJ 163 d","Radial Velocity",2013,603.95116,1.0304,0.373,29.4,5.92,0.779,NA,NA,1,15.14,11.81,"M3.5 V",3500,NA,-1.708,0.4,0.43,0.1,"[Fe/H]",6
"GJ 179","b","GJ 179 b","Radial Velocity",2009,2288,2.41,0.21,260.61,13.9,0.533,NA,NA,1,12.36,12,"M3.5 V",3370,4.83,-1.796,0.36,0.38,0.3,"[Fe/H]",NA
"GJ 273","b","GJ 273 b","Radial Velocity",2017,18.6498,0.091101,0.1,2.89,1.51,4.61,NA,1.06,1,3.8,9.872,"M3.5",3382,NA,-2.056,0.29,0.29,0.09,"[Fe/H]",NA
"GJ 273","c","GJ 273 c","Radial Velocity",2017,4.7234,0.036467,0.17,1.18,1.06,5.44,NA,6.66,1,3.8,9.872,"M3.5",3382,NA,-2.056,0.29,0.29,0.09,"[Fe/H]",NA
"GJ 3021","b","GJ 3021 b","Radial Velocity",2000,133.71,0.49,0.511,1071.04,13.1,2.62,350,NA,1,17.56,6.59,"G6 V",5540,4.7,-0.18,0.9,0.9,0.1,"[Fe/H]",0.37
"GJ 3138","b","GJ 3138 b","Radial Velocity",2017,1.22003,0.0197,0.19,1.78,1.18,5.95,NA,118.1,1,29.9,10.98,"M0",3717,NA,-1.347,0.68,0.5,-0.3,"[Fe/H]",NA
"GJ 3138","c","GJ 3138 c","Radial Velocity",2017,5.974,0.057,0.11,4.18,1.88,3.46,NA,13.9,1,29.9,10.98,"M0",3717,NA,-1.347,0.68,0.5,-0.3,"[Fe/H]",NA
"GJ 3138","d","GJ 3138 d","Radial Velocity",2017,257.8,0.698,0.32,10.5,3.23,1.71,NA,0.1,1,29.9,10.98,"M0",3717,NA,-1.347,0.68,0.5,-0.3,"[Fe/H]",NA
"GJ 317","b","GJ 317 b","Radial Velocity",2007,692,1.15,0.11,794.5,13.3,1.86,NA,NA,1,15.1,11.97,"M2.5 V",3510,NA,NA,0.42,NA,0.36,"[Fe/H]",5
"GJ 328","b","GJ 328 b","Radial Velocity",2013,4100,4.5,0.37,731,13.3,1.71,NA,NA,1,20.54,9.97,"M1",3900,NA,-0.993,0.69,0.67,0,"[M/H]",NA
"GJ 3293","b","GJ 3293 b","Radial Velocity",2015,30.5987,0.14339,0.06,23.54,5.19,0.925,NA,1.07,1,20.2,11.962,"M2.5",3466,NA,-1.658,0.42,0.4,0.02,"[Fe/H]",NA
"GJ 3293","c","GJ 3293 c","Radial Velocity",2015,122.6196,0.36175,0.11,21.09,4.87,1,NA,0.17,1,20.2,11.962,"M2.5",3466,NA,-1.658,0.42,0.4,0.02,"[Fe/H]",NA
"GJ 3293","d","GJ 3293 d","Radial Velocity",2017,48.1345,0.19394,0.12,7.6,2.67,2.19,NA,0.59,1,20.2,11.962,"M2.5",3466,NA,-1.658,0.42,0.4,0.02,"[Fe/H]",NA
"GJ 3293","e","GJ 3293 e","Radial Velocity",2017,13.2543,0.08208,0.21,3.28,1.63,4.16,NA,3.34,1,20.2,11.962,"M2.5",3466,NA,-1.658,0.42,0.4,0.02,"[Fe/H]",NA
