"Pl_HostName","Pl_Letter","Pl_Name","Pl_DiscoveryMethod","Pl_DiscoveryYear","Pl_OrbitalPeriod","Pl_SemiMajorAxis","Pl_Eccentricity","Pl_MassEarth","Pl_RadiusEarth","Pl_Density","Pl_EquilibriumTemp","Pl_InsolationFlux","Pl_NumStars","St_Distance","St_OpticalMagnitude","St_SpectralType","St_EffectiveTemp","St_SurfaceGravity","St_Luminosity","St_MassSolar","St_RadiusSolar","St_Metallicity","St_MetallicityRatio","St_Age"
"K2-83","b","K2-83 b","Transit",2016,2.74697,0.03014,0.07,2.08,1.244,5.94,NA,41.5,1,125.98,14.514,"",3910,4.86,-1.42,0.48,0.42,NA,"",NA
"K2-83","c","K2-83 c","Transit",2016,9.99767,0.07131,0.06,2.8,1.483,4.72,NA,7.42,1,125.98,14.514,"",3910,4.86,-1.42,0.48,0.42,NA,"",NA
"K2-84","b","K2-84 b","Transit",2016,6.4215,0.0665,NA,6.39,2.41,2.51,NA,178,1,287.23,13.443,"",5652,4.48,-0.423,0.95,0.93,NA,"",NA
"K2-84","c","K2-84 c","Transit",2016,27.86,0.1768,NA,4.78,2.03,3.14,NA,25.3,1,287.23,13.443,"",5652,4.48,-0.423,0.95,0.93,NA,"",NA
"K2-85","b","K2-85 b","Transit",2016,0.684533,0.01263,0.24,1.01,1.01,5.39,NA,479,1,97.49,12.831,"",4268,4.78,-0.837,0.57,0.51,-0.14,"[Fe/H]",NA
"K2-86","b","K2-86 b","Transit",2016,8.77683,0.077,NA,4.5,1.96,3.28,NA,78,1,260.61,13.167,"",5482,4.58,-0.386,0.79,0.76,-0.35,"[Fe/H]",NA
"K2-87","b","K2-87 b","Transit",2016,9.72739,0.0876,NA,19.2,4.6,1.08,NA,85,1,498.24,14.134,"",5406,4.47,-0.098,0.95,0.93,NA,"",NA
"K2-88","b","K2-88 b","Transit",2016,4.6122,0.0345,0.26,2.04,1.23,6.02,NA,7.8,1,110.91,15.476,"",3537,5.02,-2.03,0.26,0.26,NA,"",NA
"K2-89","b","K2-89 b","Transit",2016,1.096026,0.01462,0.15,0.17,0.615,4.02,NA,78,1,86.25,14.162,"",3691,4.96,-1.77,0.35,0.32,NA,"",NA
"K2-9","b","K2-9 b","Transit",2015,18.4498,0.091,NA,5.69,2.25,2.74,314,1.36,1,83.16,15.63,"M2.5 V",3390,4.82,-1.921,0.3,0.31,-0.25,"[Fe/H]",1
"K2-90","b","K2-90 b","Transit",2016,13.734907,0.1,0.07,6.94,2.53,2.35,NA,10.2,1,134.71,13.855,"",4421.98,4.79,-0.968,0.7,0.63,NA,"",NA
"K2-90","c","K2-90 c","Transit",2016,2.900706,0.035,0.19,2.24,1.3,5.6,NA,80.8,1,134.71,13.855,"",4421.98,4.79,-0.968,0.7,0.63,NA,"",NA
"K2-91","b","K2-91 b","Transit",2016,1.419549,0.0164,0.09,1.37,1.1,5.66,NA,46,1,62.69,15.572,"",3622,5,-1.9,0.29,0.28,NA,"",NA
